catalog,role,status,source,snapshot,sha256,rows,required
Fermi 4FGL-DR4,50 MeV--1 TeV LAT sources,loaded,https://heasarc.gsfc.nasa.gov/xamin/vo/cone?table=fermilpsc&RA=0&DEC=0&SR=180&VERB=3,downloaded,e4c6805a2919ff704a748b92ab5bd503d46f8dd96c4701969c102463974d3209,7195,True
Fermi 3FHL,10 GeV--2 TeV hard LAT sources,loaded,https://heasarc.gsfc.nasa.gov/xamin/vo/cone?table=fermi3fhl&RA=0&DEC=0&SR=180&VERB=3,downloaded,ecc5dff57d1f4f24f54f45b2ab0064b17ee5bec2c9b697beb25fc4730ddc0105,1556,True
Fermi 2FHL,50 GeV--2 TeV hard LAT sources,loaded,https://heasarc.gsfc.nasa.gov/xamin/vo/cone?table=fermifhl&RA=0&DEC=0&SR=180&VERB=3,downloaded,da6db3f3ae23f25cf327a43307c9e673740858984e0365efa7c83ccec48c17df,360,True
Fermi 3PC,dedicated gamma-ray pulsars,loaded,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/3rd_PSR_catalog/3PC_HTML/,downloaded,39a64eb9f0ea3a31f1b858ef943d20658613a89bfaaed4caf9ee35bb1d154f74,294,True
HAWC 2HWC,multi-TeV northern-sky sources (2017 catalog),loaded,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJ%2F843%2F40%2F2hwccat&-out.max=unlimited&-out.all,downloaded,16e767a78997e46faec2f6263ffebf9c718686375d51c96f1ab3fb19dd063baf,40,True
HAWC 3HWC,third HAWC VHE source catalog (65-source published Table 1 embedded),loaded,https://arxiv.org/abs/2007.08582,embedded-published-Table-1,982729ca9c23b95db86792d2cb96c58f2c59f6684098963d8d707175391e070b,65,True
HAWC 4HWC,fourth HAWC VHE source catalog (2026; 85-source Table 1 embedded),loaded,https://arxiv.org/abs/2602.00263,embedded-Table-1,98e542c5a708d0f3e86b1908995fd9131550800e0c2bbc43008918e3543ff60b,85,True
H.E.S.S. HGPS,0.2--100 TeV Galactic-plane sources,loaded,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F612%2FA1%2Fsources&-out.max=unlimited&-out.all,downloaded,4942cdbbb7323a0394cfbe82058b46d67378955558d78ac5a15676766fccf676,78,True
H.E.S.S. source catalog,H.E.S.S. VHE gamma-ray sources,loaded,https://heasarc.gsfc.nasa.gov/xamin/vo/cone?table=hesscat&RA=0&DEC=0&SR=180&VERB=3,downloaded,0a6ea5c8c3a4fdcb80875cc3fae08eee87a58009144b684b1970f35651934229,95,True
TeVCat,VHE gamma-ray source compilation,loaded,https://heasarc.gsfc.nasa.gov/xamin/vo/cone?table=tevcat&RA=0&DEC=0&SR=180&VERB=3,downloaded,c5dc204b72122346dbbfa66d8a3b226241b7ab3049914bdc99e5eac8c153be9c,337,True
EGRET 3EG,historical 30 MeV--20 GeV gamma-ray sources,loaded,https://heasarc.gsfc.nasa.gov/xamin/vo/cone?table=egret3&RA=0&DEC=0&SR=180&VERB=3,downloaded,7d35bc9a1fedf391b5096249e6755b8c4ced3ee46395c412346c9ecfe4ea62a9,271,True
