source,ra_deg,dec_deg,flux_norm_50tev,flux_norm_error_50tev,spectral_index,ts100
1LHAASO J0007+5659u,1.86,57.00,0.33,0.05,3.10,43.6
1LHAASO J0007+7303u,1.91,73.07,3.41,0.27,3.40,171.6
1LHAASO J0056+6346u,14.10,63.77,1.47,0.10,3.33,94.1
1LHAASO J0206+4302u,31.70,43.05,0.24,0.03,2.62,82.8
1LHAASO J0212+4254u,33.01,42.91,0.12,0.03,2.45,30.2
1LHAASO J0216+4237u,34.10,42.63,0.18,0.03,2.58,65.6
1LHAASO J0343+5254u,55.79,52.91,1.07,0.07,3.53,20.2
1LHAASO J0534+2200u,83.61,22.04,6.23,0.10,3.19,2381.4
1LHAASO J0542+2311u,85.71,23.20,2.93,0.12,3.74,21.2
1LHAASO J0634+1741u,98.57,17.69,4.42,0.15,3.69,23.0
1LHAASO J1740+0948u,265.03,9.81,0.41,0.04,3.13,37.2
1LHAASO J1837-0654u,279.31,-6.86,3.06,0.21,3.70,25.0
1LHAASO J1839-0548u,279.79,-5.81,3.03,0.20,3.24,127.7
1LHAASO J1843-0335u,280.91,-3.60,6.19,0.20,3.44,295.8
1LHAASO J1848-0001u,282.19,-0.02,1.64,0.10,2.75,316.8
1LHAASO J1848-0153u,282.02,-1.78,3.29,0.17,3.69,36.0
1LHAASO J1850-0004u,282.89,-0.07,1.86,0.12,3.15,102.0
1LHAASO J1852+0050u,283.10,0.84,3.22,0.22,3.64,22.1
1LHAASO J1857+0203u,284.38,2.06,1.78,0.10,3.31,112.4
1LHAASO J1908+0615u,287.05,6.26,6.86,0.16,2.82,912.0
1LHAASO J1912+1014u,288.38,10.50,1.52,0.10,3.26,68.9
1LHAASO J1914+1150u,288.73,11.84,0.79,0.06,3.41,26.0
1LHAASO J1928+1746u,292.17,17.89,0.72,0.07,3.10,44.9
1LHAASO J1928+1813u,292.07,18.23,2.48,0.16,3.24,44.9
1LHAASO J1929+1846u,292.04,18.97,0.64,0.06,3.11,26.0
1LHAASO J1954+2836u,298.55,28.60,0.42,0.05,2.92,44.9
1LHAASO J1959+1129u,299.82,11.49,0.27,0.04,2.69,60.8
1LHAASO J1959+2846u,299.78,28.78,0.84,0.07,2.90,74.0
1LHAASO J2002+3244u,300.60,32.64,0.15,0.03,2.70,28.1
1LHAASO J2018+3643u,304.65,36.72,3.93,0.11,3.46,139.2
1LHAASO J2020+3649u,305.23,36.82,2.29,0.09,3.31,86.5
1LHAASO J2031+4052u,308.14,40.88,0.08,0.02,2.13,38.4
1LHAASO J2031+4127u,307.95,41.46,2.56,0.08,3.45,136.9
1LHAASO J2108+5153u,317.10,51.90,1.38,0.07,2.97,252.8
1LHAASO J2200+5643u,330.08,56.73,1.70,0.10,3.44,38.4
1LHAASO J2228+6100u,337.01,61.00,4.76,0.14,2.95,605.2
1LHAASO J2229+5927u,337.88,59.55,4.43,0.36,3.53,31.4
