particle,kinetic_energy_mev,angle_deg,threshold_mip,threshold_mev,events,successes,response_probability,wilson95_low,wilson95_high,include_steel
e+,0.5,0.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,0.0,0.25,0.89463,3000,5,0.0016666666666666668,0.0007121039409388158,0.0038958152886360608,True
e+,3.0,0.0,0.25,0.89463,3000,1172,0.39066666666666666,0.37335814491150005,0.4082548300097712,True
e+,10.0,0.0,0.25,0.89463,3000,2876,0.9586666666666667,0.9509373919913736,0.9652228107779274,True
e+,30.0,0.0,0.25,0.89463,3000,2947,0.9823333333333333,0.9769652566345906,0.9864677472950449,True
e+,100.0,0.0,0.25,0.89463,3000,2986,0.9953333333333333,0.9921816677963083,0.9972180860664687,True
e+,300.0,0.0,0.25,0.89463,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e+,1000.0,0.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,3000.0,0.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e+,10000.0,0.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e+,0.5,20.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,20.0,0.25,0.89463,3000,2,0.0006666666666666666,0.00018284308780954395,0.0024276338392159843,True
e+,3.0,20.0,0.25,0.89463,3000,1168,0.3893333333333333,0.3720372559693283,0.4069124625485438,True
e+,10.0,20.0,0.25,0.89463,3000,2857,0.9523333333333334,0.9441137030968278,0.9593960317563273,True
e+,30.0,20.0,0.25,0.89463,3000,2966,0.9886666666666667,0.9842050842176286,0.991878387628153,True
e+,100.0,20.0,0.25,0.89463,3000,2985,0.995,0.9917663931103022,0.996967546651625,True
e+,300.0,20.0,0.25,0.89463,3000,2994,0.998,0.9956431969391587,0.9990830697304166,True
e+,1000.0,20.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,3000.0,20.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e+,10000.0,20.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e+,0.5,40.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,40.0,0.25,0.89463,3000,1,0.0003333333333333333,5.8843941871566355e-05,0.0018858188843041794,True
e+,3.0,40.0,0.25,0.89463,3000,828,0.276,0.2602981311123777,0.2922747931165684,True
e+,10.0,40.0,0.25,0.89463,3000,2786,0.9286666666666666,0.9188979617215353,0.9373389719712851,True
e+,30.0,40.0,0.25,0.89463,3000,2953,0.9843333333333333,0.9792300783910395,0.9881978101436948,True
e+,100.0,40.0,0.25,0.89463,3000,2986,0.9953333333333333,0.9921816677963083,0.9972180860664687,True
e+,300.0,40.0,0.25,0.89463,3000,2992,0.9973333333333333,0.9947465032080693,0.9986481352598064,True
e+,1000.0,40.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,3000.0,40.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,10000.0,40.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,0.5,60.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,60.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,60.0,0.25,0.89463,3000,432,0.144,0.13189170058240915,0.15701883971002292,True
e+,10.0,60.0,0.25,0.89463,3000,2279,0.7596666666666667,0.7440508163759608,0.77461836818602,True
e+,30.0,60.0,0.25,0.89463,3000,2873,0.9576666666666667,0.9498572089611094,0.9643055515056423,True
e+,100.0,60.0,0.25,0.89463,3000,2981,0.9936666666666667,0.9901290295045656,0.9959416538539626,True
e+,300.0,60.0,0.25,0.89463,3000,2995,0.9983333333333333,0.9961041847113639,0.9992878960590612,True
e+,1000.0,60.0,0.25,0.89463,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e+,3000.0,60.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,10000.0,60.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,0.5,70.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,70.0,0.25,0.89463,3000,1,0.0003333333333333333,5.8843941871566355e-05,0.0018858188843041794,True
